player_fotmob_id,season_start,name,team,role,fantavoto_medio,n_votes,n_matches,match_method
799497,2023,Birindelli,Monza,DEF,5.891,32,32,last_name_team_role_season
729093,2023,Olivera,Napoli,DEF,5.886,22,22,last_name_team_role_season
935406,2023,Ranieri L.,Fiorentina,DEF,5.88,25,25,last_name_team_role_season
299981,2023,Mari',Monza,DEF,5.879,33,33,last_name_team_role_season
603537,2023,Angelino,Roma,DEF,5.875,16,16,last_name_team_role_season
1395728,2023,Berisha M.,Lecce,MID,5.875,4,4,last_name_team_role
,2023,Brenner,Udinese,FWD,5.875,4,4,unmatched
867225,2023,Celik,Roma,DEF,5.875,12,12,last_name_team_role_season
303155,2023,Djidji,Torino,DEF,5.875,12,12,last_name_team_role_season
923222,2023,Mulattieri,Sassuolo,FWD,5.875,12,12,last_name_team_role_season
1093766,2023,Rafia,Lecce,MID,5.875,24,24,last_name_team_role_season
364104,2023,Sabelli,Genoa,DEF,5.871,31,31,last_name_team_role_season
836436,2023,Strefezza,Lecce,MID,5.868,19,19,last_name_role
561844,2023,Ebuehi,Empoli,DEF,5.867,15,15,last_name_team_role_season
,2023,Kjaer,Milan,DEF,5.867,15,15,unmatched
941656,2023,Ricci S.,Torino,MID,5.867,30,30,last_name_team_role_season
480021,2023,Ciurria,Monza,MID,5.864,22,22,last_name_team_role_season
1137272,2023,Musah,Milan,MID,5.86,25,25,last_name_team_role_season
787242,2023,N'Dicka,Roma,DEF,5.86,25,25,last_name_team_role_season
889536,2023,Weah,Juventus,MID,5.86,25,25,last_name_team_role_season
1131217,2023,Kalulu,Milan,DEF,5.857,7,7,last_name_team_role_season
,2023,Mboula,Verona,MID,5.857,7,7,unmatched
95509,2023,Fazio,Salernitana,DEF,5.853,17,17,last_name_team_role_season
362119,2023,Garritano,Frosinone,MID,5.85,10,10,last_name_team_role_season
612863,2023,Zambo Anguissa,Napoli,MID,5.848,33,33,last_name_team_role_season
,2023,Lindstrom,Napoli,MID,5.844,16,16,unmatched
36183,2023,Boateng J.,Salernitana,DEF,5.833,6,6,last_name_team_role_season
1327513,2023,Cittadini,Genoa,DEF,5.833,3,3,last_name_team_role_season
111739,2023,Romagnoli S.,Frosinone,DEF,5.833,33,33,last_name_team_role_season
165823,2023,Smalling,Roma,DEF,5.833,6,6,last_name_team_role_season
,2023,Soppy,Torino,DEF,5.833,3,3,unmatched
,2023,Stewart,Salernitana,FWD,5.833,3,3,unmatched
1121295,2023,Urbanski,Bologna,MID,5.833,18,18,last_name_team_role_season
198099,2023,Bereszynski,Empoli,DEF,5.826,23,23,last_name_team_role_season
586474,2023,Ehizibue,Udinese,DEF,5.825,20,20,last_name_team_role_season
469615,2023,Simeone,Napoli,FWD,5.824,17,17,last_name_team_role_season
693591,2023,Bohinen,Salernitana,MID,5.821,14,14,last_name_role_season
,2023,Hongla,Verona,MID,5.821,14,14,unmatched
902383,2023,Perez N.,Udinese,DEF,5.819,36,36,last_name_team_role_season
527563,2023,Azzi,Cagliari,DEF,5.818,22,22,last_name_team_role_season
939780,2023,Hien,Atalanta,DEF,5.818,22,22,last_name_team_role_season
850055,2023,Boloca,Sassuolo,MID,5.817,30,30,last_name_team_role_season
534484,2023,Success,Udinese,FWD,5.816,19,19,last_name_team_role_season
693160,2023,Augello,Cagliari,DEF,5.812,32,32,last_name_team_role_season
671621,2023,Machin,Monza,MID,5.812,8,8,last_name_team_role_season
161683,2023,Manolas,Salernitana,DEF,5.812,8,8,last_name_team_role_season
831474,2023,Pongracic,Lecce,DEF,5.806,36,36,last_name_team_role_season
1297995,2023,Ikwuemesi,Salernitana,FWD,5.804,23,23,last_name_team_role_season
362195,2023,Romagnoli,Lazio,DEF,5.804,28,28,last_name_team_role_season
